id,text,translation,source_citation,parses
gr-s17,"Ὁ ἀνὴρ καὶ ἡ γυνὴ ἐν τῷ οἴκῳ εἰσίν.","The man and the woman are in the house.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;aner|ἀνὴρ|case=nom,number=sg,gender=m;kai|καὶ|type=conj;ho|ἡ|case=nom,number=sg,gender=f;gyne|γυνὴ|case=nom,number=sg,gender=f;en|ἐν|type=prep;ho|τῷ|case=dat,number=sg,gender=m;oikos|οἴκῳ|case=dat,number=sg,gender=m;eimi|εἰσίν|person=3,number=pl,tense=pres,mood=ind,voice=act"
gr-s18,"Ὁ δὲ βασιλεύς ἐστιν ἄνθρωπος δίκαιος.","And the king is a just man.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;de|δὲ|type=conj;basileus|βασιλεύς|case=nom,number=sg,gender=m;eimi|ἐστιν|person=3,number=sg,tense=pres,mood=ind,voice=act;anthropos|ἄνθρωπος|case=nom,number=sg,gender=m;dikaios|δίκαιος|case=nom,number=sg,gender=m"
gr-s19,"Ὁ θεὸς ἔδωκε τὸ φῶς τῷ κόσμῳ.","God gave the light to the world.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;theos|θεὸς|case=nom,number=sg,gender=m;didomi|ἔδωκε|person=3,number=sg,tense=aor,mood=ind,voice=act;ho|τὸ|case=acc,number=sg,gender=n;phos|φῶς|case=acc,number=sg,gender=n;ho|τῷ|case=dat,number=sg,gender=m;kosmos|κόσμῳ|case=dat,number=sg,gender=m"
gr-s20,"Ὁ μαθητὴς ζητεῖ τὴν ἀλήθειαν.","The disciple seeks the truth.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;mathetes|μαθητὴς|case=nom,number=sg,gender=m;zeteo|ζητεῖ|person=3,number=sg,tense=pres,mood=ind,voice=act;ho|τὴν|case=acc,number=sg,gender=f;alethes|ἀλήθειαν|case=acc,number=sg,gender=f"
gr-s21,"Ὁ προφήτης ἔπεμψε τὸν ἄγγελον εἰς τὴν πόλιν.","The prophet sent the messenger into the city.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;profetes|προφήτης|case=nom,number=sg,gender=m;pempo|ἔπεμψε|person=3,number=sg,tense=aor,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;angelos|ἄγγελον|case=acc,number=sg,gender=m;eis|εἰς|type=prep;ho|τὴν|case=acc,number=sg,gender=f;polis|πόλιν|case=acc,number=sg,gender=f"
gr-s22,"Ὁ ἀδελφὸς ἔρχεται μετὰ τοῦ φίλου.","The brother comes with the friend.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;adelphos|ἀδελφὸς|case=nom,number=sg,gender=m;erchomai|ἔρχεται|person=3,number=sg,tense=pres,mood=ind,voice=mid;meta|μετὰ|type=prep;ho|τοῦ|case=gen,number=sg,gender=m;philos|φίλου|case=gen,number=sg,gender=m"
gr-s23,"Τὸ πνεῦμα τὸ ἅγιον λύει τὸν φόβον.","The Holy Spirit frees from fear.",constructed for practice,"ho|Τὸ|case=nom,number=sg,gender=n;pneuma|πνεῦμα|case=nom,number=sg,gender=n;ho|τὸ|case=nom,number=sg,gender=n;hagios|ἅγιον|case=nom,number=sg,gender=n;luo|λύει|person=3,number=sg,tense=pres,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;fobos|φόβον|case=acc,number=sg,gender=m"
gr-s24,"Ὁ διδάσκαλος γράφει τὸν νόμον ἐν τῇ καρδίᾳ.","The teacher writes the law on the heart.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;didaskalos|διδάσκαλος|case=nom,number=sg,gender=m;grafo|γράφει|person=3,number=sg,tense=pres,mood=ind,voice=act;ho|τὸν|case=acc,number=sg,gender=m;nomos|νόμον|case=acc,number=sg,gender=m;en|ἐν|type=prep;ho|τῇ|case=dat,number=sg,gender=f;kardia|καρδίᾳ|case=dat,number=sg,gender=f"
gr-s25,"Οἱ δοῦλοι ἔφευγον ἐκ τοῦ οἴκου.","The slaves were fleeing from the house.",constructed for practice,"ho|Οἱ|case=nom,number=pl,gender=m;doulos|δοῦλοι|case=nom,number=pl,gender=m;pheugo|ἔφευγον|person=3,number=pl,tense=imperf,mood=ind,voice=act;ek|ἐκ|type=prep;ho|τοῦ|case=gen,number=sg,gender=m;oikos|οἴκου|case=gen,number=sg,gender=m"
gr-s26,"Ὁ δίκαιος πιστός ἐστι τῷ θεῷ.","The righteous one is faithful to God.",constructed for practice,"ho|Ὁ|case=nom,number=sg,gender=m;dikaios|δίκαιος|case=nom,number=sg,gender=m;pistos|πιστός|case=nom,number=sg,gender=m;eimi|ἐστι|person=3,number=sg,tense=pres,mood=ind,voice=act;ho|τῷ|case=dat,number=sg,gender=m;theos|θεῷ|case=dat,number=sg,gender=m"
